trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.97999999999999998}",20,0,-113.75383553236752,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.96039602653386491}",30,0,-130.13032824103513,"{0: 14, 1: 5, 2: 10, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.94118023775081849}",30,0,-173.66319266321358,"{0: 19, 1: 0, 2: 8, 3: 0, 4: 3}",1
4,False,"{'a': 0.5, 'e': 0.9223449470791335}",20,0,-70.9467431341637,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.90388262015140075}",20,0,-147.87862114000828,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.88578587179068158}",20,0,-102.87063280427097,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.8680474630563384}",20,0,-60.024579956024695,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.85066029834836232}",35,0,-303.05211641497914,"{0: 18, 1: 4, 2: 6, 3: 2, 4: 5}",0
9,False,"{'a': 0.5, 'e': 0.83361742256903815}",20,0,-96.3854732151232,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.81691201834081273}",25,0,-83.64885732167123,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.80053740327925305}",25,0,-72.92686801254277,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.78448702732000353}",20,1,-78.76846105464396,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.76875447009867248}",30,0,-64.75181165536769,"{0: 23, 1: 4, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.75333343838260114}",25,7,-34.406612825086704,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.73821776355348667}",25,0,-128.2985630069237,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.72340139913985235}",20,0,-15.302246426029031,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.70887841839837851}",20,3,-75.34338624292292,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.69464301194312628}",25,0,-92.22694545238578,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.68068948542170571}",35,0,-44.81109216495396,"{0: 27, 1: 1, 2: 6, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.66701225723745861}",25,0,-52.59824084123368,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.65360585631674584}",20,0,-93.84240468313276,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.64046491992044474}",30,17,8.302353196320057,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.62758419149878186}",20,0,-70.45097718287039,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.61495851858864337}",20,0,-57.90157358770715,"{0: 13, 1: 4, 2: 0, 3: 3, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.6025828507525206}",35,8,-33.56437465735986,"{0: 21, 1: 4, 2: 1, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.59045223755826792}",20,0,-17.964201852945333,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.57856182659886402}",25,6,-17.17348471740788,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.56690686155138426}",30,8,-31.419544085737837,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.55548268027440795}",30,7,-105.28217110799308,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.54428471294309988}",25,0,-114.60885901749808,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.53330848022121935}",20,0,-103.36544803919762,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.52254959146932589}",20,0,-60.60873933277726,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
