trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.96676238781475,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.35031029910132,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.73194029732485,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.2452692736995,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.90396287130226,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.82859028207231,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.30053105128546,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.66636715724951,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.690226012197705,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-142.00140558238056,"{0: 11, 1: 5, 2: 1, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,8,-45.44486702577335,"{0: 6, 1: 1, 2: 5, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.67848320185654,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.27049033798465,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,2,-148.41013343914364,"{0: 19, 1: 6, 2: 6, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,9,-45.34159522153332,"{0: 5, 1: 2, 2: 4, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.49636116006155,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.70220575150572,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.11865887523682,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,7,5.580066122877393,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,8,-113.5030077871051,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 2}",1
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-186.10982810992903,"{0: 18, 1: 0, 2: 9, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-114.24404299504774,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-121.26301435880681,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-155.5703720168987,"{0: 15, 1: 5, 2: 1, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.30582920959769,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-29.26378943469864,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-124.448308248971,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-167.03974411012055,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.69934431756776,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-136.51031549464685,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
